algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.040,4.042,0.924,0.925,0.924,0.925,0.925,0.884,0.881,0.884,0.076,0.076,0.198,0.699,0.836,0.613,49.718
Linear Regression,0.011,0.459,0.637,0.740,0.637,0.659,0.697,0.480,0.529,0.460,0.363,0.363,0.487,0.827,0.910,0.268,40.520
Logistic Regression,0.032,24.444,0.893,0.894,0.893,0.873,0.871,0.841,0.821,0.834,0.107,0.107,0.264,0.821,0.906,0.347,42.396
KNN,34.565,0.071,0.932,0.927,0.932,0.928,0.927,0.896,0.887,0.896,0.068,0.068,0.181,0.640,0.800,0.561,53.951
Random Forest,2.652,100.188,0.939,0.935,0.939,0.934,0.934,0.907,0.897,0.907,0.061,0.061,0.157,0.537,0.733,0.567,61.366
MLP,0.390,1193.854,0.930,0.922,0.930,0.919,0.916,0.893,0.879,0.892,0.070,0.070,0.180,0.620,0.787,0.479,55.511
Bagging,0.607,52.684,0.937,0.934,0.937,0.935,0.934,0.904,0.896,0.904,0.063,0.063,0.163,0.567,0.753,0.617,59.227
J48,0.061,12.632,0.926,0.927,0.926,0.927,0.927,0.888,0.884,0.888,0.074,0.074,0.192,0.674,0.821,0.629,51.512
ANN,13.347,236.990,0.893,0.873,0.893,0.869,0.861,0.839,0.818,0.833,0.107,0.107,0.266,0.832,0.912,0.323,41.016
DNN,13.818,271.023,0.909,0.883,0.909,0.885,0.875,0.861,0.841,0.858,0.091,0.091,0.231,0.762,0.873,0.341,45.244
Gradient Boosting,3.632,1969.709,0.937,0.933,0.937,0.928,0.926,0.903,0.890,0.903,0.063,0.063,0.164,0.573,0.757,0.545,58.806
XGBoost,1.853,56.628,0.942,0.938,0.942,0.936,0.936,0.911,0.900,0.910,0.058,0.058,0.151,0.523,0.723,0.593,62.414
Gaussian Naive Bayes,0.398,0.496,0.718,0.904,0.718,0.754,0.803,0.622,0.706,0.595,0.282,0.282,0.937,3.975,1.994,0.445,-180.548
Adaptive Gradient Boosting,13.445,862.511,0.898,0.902,0.898,0.900,0.901,0.844,0.844,0.844,0.102,0.102,0.256,0.892,0.944,0.527,35.868
QDA,0.452,0.886,0.005,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.995,0.995,4.811,24.532,4.953,0.111,0.000
SNN,13.870,248.385,0.923,0.914,0.923,0.913,0.909,0.883,0.871,0.882,0.077,0.077,0.197,0.675,0.821,0.465,51.480
